Canonical SMILES,Health,Fire,Reactivity,W,OX
C1=CC(=CC=C1[N+](=O)[O-])Cl,1,1,1,0,0
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,1,0,0,0,0
CCC,1,1,0,0,0
CCCCOP(=O)(OCCCC)OCCCC,1,1,0,0,0
CCCC(C(CC)CO)O,1,1,0,0,0
CC1OC(OC(OC(O1)C)C)C,1,1,1,0,0
C1=CC=C(C=C1)C2=CC=CC=C2O,1,1,0,0,0
CC1=CCC(CC1)C(=C)C,1,1,0,0,0
CC1=CC=CC=C1O,1,1,0,0,0
CC1=CC=C(C=C1)O,1,1,0,0,0
CC1=CC(=CC=C1)O,1,1,0,0,0
CCCCC(=O)CC,1,1,0,0,0
CCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC,1,1,0,0,0
CC(C)CCOC(=O)C,1,1,0,0,0
COCOC,1,1,1,1,0
C1=CC(=C(C(=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl)Cl,1,1,0,0,0
CCCCCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O,0,1,0,0,0
COC(=O)C1=CC=CC=C1O,1,1,0,0,0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])OC3C(C(C(C(O3)CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1,1,0,0,0
COC1=CC=CC=C1O,1,1,0,0,0
C=C(Cl)Cl,1,1,1,1,0
CCCCCCCCCCCCCCCCCC(=O)O,1,1,0,0,0
CC1=CC=C(C=C1)S(=O)(=O)OC,1,1,0,0,0
CC1=CC=C(C=C1)S(=O)(=O)O,1,1,1,0,0
CC1=CC=CC=C1N,1,1,0,0,0
CC1=CC(=CC=C1)N,1,1,0,0,0
CC1=CC=C(C=C1)N,1,1,0,0,0
C=C1CC(=O)O1,1,1,1,1,0
CC(=O)CC(=O)C,1,1,0,0,0
C=CCN,1,1,1,0,0
CC(C(CO)N)N,1,1,0,0,0
COC1=CC=CC=C1N,1,1,0,0,0
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,1,1,0,0,0
C1=CC=C(C=C1)C(Cl)(Cl)Cl,1,1,0,0,0
C1=CC=C(C=C1)C(F)(F)F,1,1,1,0,0
CCCCOC(=O)C1=CC=CC=C1,1,1,0,0,0
CC1=C(C(=CC=C1)N)C,1,1,0,0,0
CC1=CC(=C(C=C1)N)C,1,1,0,0,0
CC1=CC(=C(C=C1)C)N,1,1,0,0,0
CC1=C(C=C(C=C1)N)C,1,1,0,0,0
CC1=CC(=CC(=C1)N)C,1,1,0,0,0
CCCN(CCC)CCC,1,1,0,0,0
C1=CC=C(C=C1)CC#N,1,1,0,0,0
C1=CC=C(C=C1)COCCO,1,1,0,0,0
C1=CC=C(C=C1)CS,1,1,0,0,0
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,1,1,0,0,0
C(#N)C#N,1,1,1,0,0
CCOC(=O)C(=O)OCC,1,1,0,0,0
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,1,1,0,0,0
CC1=CC=CC=C1[N+](=O)[O-],1,1,1,0,0
CCCCBr,1,1,0,0,0
CC#C,1,1,1,0,0
CC(CO)OCC(C)OC,0,1,0,0,0
CCC[N+](=O)[O-],1,1,1,1,0
C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,1,1,0,0,0
C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC=C3,0,1,0,0,0
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,0,1,0,0,0
C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,1,1,0,0,0
CCOP(=O)(OCC)OCC,1,1,1,0,0
C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3,0,1,0,0,0
COC(=O)C1=CC=C(C=C1)C(=O)OC,1,1,0,0,0
C1=CC(=CC(=C1)O)N,1,0,0,0,0
C1=CC=C(C=C1)C2=CC=C(C=C2)[N+](=O)[O-],1,1,0,0,0
C1=CC(=CC=C1N)O,1,1,0,0,0
CCCNCCC,1,1,0,0,0
C1C(O1)C2=CC=CC=C2,1,1,0,0,0
CC(=C)C(=O)O,1,1,1,1,0
C1CC(=O)NC1,1,1,0,0,0
C=CCC1=CC2=C(C=C1)OCO2,1,1,0,0,0
CC(CO)OCC(C)OCC(C)O,0,1,0,0,0
CCN(CC)C(=O)Cl,1,1,1,1,0
CC(COCC(C)O)O,1,1,0,0,0
CC(CC=O)O,1,1,0,0,0
CC(=O)NC1=CC=CC=C1,1,1,0,0,0
CC(=O)OC1=CC=CC=C1,1,1,0,0,0
CCCCC(CC)COC(=O)C,1,1,0,0,0
CC(=O)CC(=O)NC1=CC=CC=C1,1,1,0,0,0
CC(=O)NCCO,1,1,0,0,0
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,1,1,0,0,0
CC(C1=CC=CC=C1)N,1,1,0,0,0
CCCCNC,1,1,0,0,0
CCOC(=O)CC#N,1,1,1,0,0
CCCCNC1CCCCC1,1,1,0,0,0
CCNC1CCCCC1,1,1,0,0,0
C1=CC=C(C=C1)CN,1,1,0,0,0
CCCC=O,1,1,0,0,0
C(=C(F)Cl)(F)F,1,1,1,0,0
CC=CC(=O)O,1,1,0,0,0
CC(=O)OC1CCCCC1,1,1,0,0,0
C1CCC(C1)O,0,1,0,0,0
C1CCC(=O)C1,1,1,0,0,0
CCCCOCCOCCCC,1,1,0,0,0
CC(C)OCCO,1,1,0,0,0
CC(=O)OCC1=CC=CC=C1,1,1,0,0,0
CC(COCC(C)O)O,1,1,0,0,0
CCC1CO1,1,1,1,1,0
C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl,1,1,1,0,0
C=CC1CCC=CC1,0,1,1,1,0
CC(F)(F)Cl,1,1,0,0,0
CC(C)CCC(=O)C,1,1,0,0,0
C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],1,1,0,0,0
CCCC(C)CO,0,1,0,0,0
CC(C)(C)OOC(=O)C1=CC=CC=C1,1,1,1,0,1
C1=CC=C(C(=C1)N)N,1,1,0,0,0
CCCCCCCCCCCCCCCCCC(=O)OC,0,1,0,0,0
CC1(CCCCC1)O,0,1,0,0,0
CC1=CC(=CC=C1)[N+](=O)[O-],1,1,1,0,0
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,1,1,0,0,0
CC1OC(OC(O1)C)C,1,1,1,0,0
C1OCOCO1,1,1,0,0,0
CC(=CCCC1(C2CC3C1(C3C2)C)C)CO,0,1,0,0,0
C1=CC=C2C(=C1)C(=O)OC2=O,1,1,0,0,0
C=O,1,1,1,0,0
CCC1=CC=CC=C1CC,1,1,0,0,0
CCC1=CC(=CC=C1)CC,1,1,0,0,0
CCC1=CC=C(C=C1)CC,1,1,0,0,0
CC1=CC=CC=C1OP(=O)(OC2=CC=CC=C2C)OC3=CC=CC=C3C,1,1,0,0,0
CC(C1=CC=CC=C1)O,0,1,0,0,0
CCCCCl,1,1,0,0,0
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,1,1,1,0,0
C1=CC=C(C(=C1)N)O,1,1,0,0,0
C1=CC(=CC=C1C(F)(F)F)Cl,1,1,0,0,0
COC1=CC=C(C=C1)O,1,1,0,0,0
C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,0,1,0,0,0
CN(C)C#N,1,1,1,0,0
C1CC(=O)OC1,1,1,0,0,0
CC1CNCC(O1)C,1,1,0,0,0
C1CCOC1,1,1,1,1,0
C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],1,1,1,0,0
COC1=C(C=C(C=C1)CC=C)OC,0,1,0,0,0
C1=CC=C(C=C1)CCO,1,1,0,0,0
CCC(C)(C)O,1,1,0,0,0
C1=CC=C(C=C1)CC(=O)O,1,1,0,0,0
C(CO)O,1,1,0,0,0
CCCC#N,1,1,0,0,0
COCCOC(=O)C1=CC=CC=C1C(=O)OCCOC,0,1,0,0,0
CN1CCCC1=O,1,1,0,0,0
CCOC(=O)CBr,0,1,0,0,0
CCCCCOC(=O)C,1,1,0,0,0
CC1=CC=C(C=C1)C(C)C,1,1,0,0,0
CCCCCCCCCCOC(=O)C=C,1,1,0,0,0
CCCCCCCCCCCC,1,1,0,0,0
CCC1=CN=C(C=C1)C,1,1,0,0,0
C1=CC=C(C=C1)CC2=CC=CC=C2,1,1,0,0,0
CCCCC(CC)C=O,1,1,1,0,0
CCCCCCCC=O,0,1,0,0,0
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(N3CCCCC3)O)N=[N+]=[N-],0,1,0,0,0
CCCN,1,1,0,0,0
CCCOCCC,1,1,1,0,0
CCCCCCCCCCCCCCO,0,1,0,0,0
C(CNCCNCCNCCN)N,1,1,0,0,0
C(CS)O,1,1,1,0,0
CC(C)Cl,1,1,0,0,0
C=C(F)F,1,1,1,0,0
CC(C)(C)N,1,1,0,0,0
CC(C)C#N,1,1,0,0,0
C=C(CCl)Cl,1,1,0,0,0
CC(CO)Cl,1,1,0,0,0
CC(CN)O,1,1,0,0,0
CC(C#N)O,1,1,1,0,0
CC(C)C(=O)O,1,1,0,0,0
C(C(=O)Cl)(Cl)Cl,1,1,1,0,0
CCC(C)(C)C1=CC=C(C=C1)O,1,1,0,0,0
CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,1,1,0,0,0
CC1=CC=CC2=CC=CC=C12,1,1,0,0,0
C1=CC=C2C(=C1)C=CC=C2Cl,1,1,0,0,0
COC(=O)C1=CC=CC=C1,1,1,0,0,0
CC1=CC(=C(C=C1)C)C,1,1,0,0,0
CCC(C)CC,1,1,0,0,0
CCC(=O)CC,1,1,0,0,0
C(C(CCl)O)Cl,1,1,0,0,0
COC(=O)CCl,1,1,1,0,0
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,1,1,0,0,0
CC(C)COC(=O)C(C)C,0,1,0,0,0
C1CC(OC1)CO,1,1,0,0,0
CC(C)(C)C1=CC=CC=C1,1,1,0,0,0
C1CC(CC=C1)C=O,1,1,0,0,0
CCC(C)NC1=CC=C(C=C1)NC(C)CC,1,1,0,0,0
CCCC1=CC=CC=C1,1,1,0,0,0
CCNC1=CC=CC=C1,1,1,0,0,0
C1CC(CCC1CO)CO,1,1,0,0,0
CCC(=O)OCC,0,1,0,0,0
CCCC(=O)OC(=O)CCC,1,1,1,0,0
C=CC(=O)OCCC#N,1,1,1,0,0
C(COC(=O)Cl)OCCOC(=O)Cl,0,1,0,0,0
C=CC(=O)OCC1CO1,0,1,0,0,0
CC(=CC(C)(C)C)C,1,1,0,0,0
CC(=C)OC(=O)C,1,1,0,0,0
CC1=CC=NC=C1,1,1,0,0,0
CCCCC(=O)O,1,1,0,0,0
CN(C)CCCN,1,1,0,0,0
C(COCCCl)OCCCl,1,1,0,0,0
CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,1,1,0,0,0
CCCCCCOC(=O)C(=C)C,0,1,0,0,0
C=CC1=CC=CC=C1C=C,1,1,1,1,0
CCN(CC)CCOC(=O)C=C,1,1,1,0,0
CC(=C)C(=O)OCCN(C)C,1,1,0,0,0
CCCCC(CC)COC(=O)C=CC(=O)OCC(CC)CCCC,0,1,0,0,0
CCCCCCCCC=CCCCCCCCC(=O)OCCCC,0,1,0,0,0
CC1=C(C=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],1,1,1,0,0
C=CC1CO1,1,1,1,1,0
C(C=CCO)O,1,1,0,0,0
CC(C)CNCC(C)C,1,1,0,0,0
CCCCCCC(=O)C,1,1,0,0,0
CC(=O)OCCOCCOCCOC(=O)C,0,1,0,0,0
CCCCN=C=O,1,1,1,1,0
C1CC=CCCC=C1,0,1,0,0,0
CCCCCCCCS,1,1,1,0,0
CCOCCOCCOC(=O)C,1,1,0,0,0
CC(=CCCC(=O)C)C,1,1,0,0,0
CCCCCCCCCCCCCO,0,1,0,0,0
C1=CC=C(C=C1)C(=O)OCCOCCOC(=O)C2=CC=CC=C2,0,1,0,0,0
CC(CN(CC(C)O)CC(C)O)O,1,1,0,0,0
C1=CC=C(C=C1)OCCO,1,1,0,0,0
CCC1=CC=C(C=C1)O,1,1,0,0,0
CCCCCCC(C)O,1,1,0,0,0
CCCCOCCOCC(C)O,1,1,0,0,0
CC(C)(CO)N,1,1,0,0,0
CC(=C)C#N,1,1,1,1,0
CCCCCCCCCC1=CC(=C(C=C1)O)CCCCCCCCC,1,1,0,0,0
CCC(C)CO,1,1,0,0,0
C1CN(CCN1)CCN,1,1,0,0,0
CCCCCCOC(=O)C,1,1,0,0,0
CCCCOCCOCCOCCO,1,1,0,0,0
CCCCC(CC)C(=O)O,1,1,0,0,0
CC1CCC2CC1C2(C)C,0,0,0,0,0
CCCCl,1,1,0,0,0
CC(C)CC(C)(C)C,0,1,0,0,0
CC(C(=O)OC)O,1,1,0,0,0
CCC(=O)OC,1,1,0,0,0
C(=N)(N)N[N+](=O)[O-],1,0,1,0,0
CC(=C)Cl,1,1,0,0,0
CCC(=C)C,1,1,0,0,0
CC(C)C=C,1,1,0,0,0
CC=CC,1,1,0,0,0
CC=CCl,1,1,1,0,0
CC=CCC=C,0,1,0,0,0
CC(C(=O)O)Cl,0,1,0,0,0
CC=C(C)C(C)(C)C,0,1,0,0,0
CCC(CCl)Cl,1,1,0,0,0
CCCC(=O)OC,1,1,0,0,0
CCOC(=O)C=CC(=O)OCC,1,1,0,0,0
CC=CC,1,1,1,0,0
CCC=CC,0,1,0,0,0
CCCCCCCCCCCCCC,1,1,0,0,0
CCC=CC,0,1,0,0,0
C1COCO1,1,1,1,1,0
C=CC(CCl)Cl,1,1,1,0,0
CCCCCCCCCCC,1,1,0,0,0
C1CCC(CC1)S,0,1,0,0,0
CCCCCNCCCCC,1,1,0,0,0
CC1=CC=CC=C1Br,0,0,0,0,0
CC1=CC=C(C=C1)Br,1,1,0,0,0
C1=CC=C(C=C1)COCC2=CC=CC=C2,0,1,0,0,0
C(CCl)C#N,0,1,1,0,0
C#CCO,1,1,1,0,0
CC=CC=C,0,1,1,1,0
CCCCCCCCCCCCCOC(=O)C=C,1,1,0,0,0
CC1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,1,1,0,0,0
CCC(CC)COC(=O)C=C,1,1,0,0,0
CCN(CC1=CC=CC=C1)C2=CC=CC=C2,1,1,0,0,0
CCCCCCCCCCOP(OCCCCCCCCCC)OC1=CC=CC=C1,0,1,0,0,0
COC(=O)C1=CC(=CC=C1)C(=O)OC,1,1,0,0,0
CCCSC(=O)Cl,1,1,0,0,0
CC1=CC=CC=C1C2=CC=CC=C2,0,1,1,0,0
CCCC(C)OC(=O)C,1,1,0,0,0
CCC(C)N,1,1,0,0,0
CC(C)(C)CC(C)(C)S,1,1,0,0,0
C#CCBr,1,1,1,0,0
CC1=NC=C(C=C1)C=C,1,1,0,0,0
C1=CC(=CC(=C1)Cl)C2=CC(=CC(=C2)Cl)Cl,1,1,0,0,0
C1=C(C=C(C=C1Cl)Cl)C2=CC(=CC(=C2)Cl)Cl,1,1,0,0,0
C1=CC(=C(C(=C1)Cl)Cl)C2=C(C(=C(C=C2)Cl)Cl)Cl,1,1,0,0,0
C1=CC(=CC=C1Cl)Cl,1,1,0,0,0
CCCCOC(=O)CC(C)C,0,1,0,0,0
CCCCOC=C,1,1,1,1,0
CC(C)OC=O,1,1,0,0,0
CC1=CC(=C(C=C1)N)C.CC1=CC(=C(C=C1)C)N.CC1=C(C(=CC=C1)N)C.CC1=C(C(=CC=C1)C)N.CC1=C(C=C(C=C1)N)C.CC1=CC(=CC(=C1)N)C,1,1,0,0,0
CC(C)CCCCCO,1,1,0,0,0
CN(CCO)CCO,1,1,0,0,0
CC1COC(=O)O1,1,1,1,0,0
C1=CC=C2C=C(C=CC2=C1)O,0,1,0,0,0
CCCCCC(=O)O,1,1,0,0,0
CCCCCCCCCCCCCCCC,1,1,0,0,0
COC(=O)OC,1,1,1,0,0
C(CC#N)C#N,1,1,0,0,0
CCCO[N+](=O)[O-],1,1,1,0,0
CCCCC1=CC=CC=C1,1,1,0,0,0
CCC(C)C1=CC=CC=C1,1,1,0,0,0
CCCCCCCCCC(=O)C,1,1,0,0,0
C(CSCCO)O,1,1,0,0,0
CCCCNCC,1,1,0,0,0
CC1=C(C(=CC=C1)C)C,1,1,0,0,0
CCN(CCO)CCO,1,1,0,0,0
COC1=C(C=C(C=C1Br)Br)Br,0,0,0,0,0
COC1=CC=CC(=C1)N,1,1,0,0,0
C(CCN)CN,1,0,0,0,0
C(CCN)CCN,1,1,0,0,0
CCOC(C)(C)C,1,1,0,0,0
CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,0,0,0,0,0
CCCCOC(=O)C(C)O,1,1,0,0,0
CCCC(=O)CCC,1,1,0,0,0
CC(COC(=O)C=C)O,1,1,1,0,0
CC(C)C(=O)C,1,1,1,0,0
CC=CC1=CC(=C(C=C1)O)OC,1,1,0,0,0
CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C,1,1,0,0,0
CN(C)CC1=CC(=C(C(=C1)CN(C)C)O)CN(C)C,1,0,0,0,0
C(CO)CO,1,1,0,0,0
C1=CC=C(C=C1)CCCO,1,1,1,0,0
CCC=CCCO,1,1,0,0,0
CC1=CCCC(C1C=CC(=O)C)(C)C,0,1,0,0,0
CC1=C(C(CCC1)(C)C)C=CC(=O)C,0,1,0,0,0
C(CCO)CCO,1,1,0,0,0
CCC(=O)Cl,1,1,1,1,0
CCOC(=O)CC1=CC=CC=C1,1,1,0,0,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,0,1,0,0,0
CCOC=C,1,1,1,1,0
CC(C)(CO)CO,1,1,0,0,0
CCOC(=O)CC(=O)OCC,1,1,0,0,0
CC(COC)OC(=O)C,1,1,0,0,0
CCCCCCN,1,1,0,0,0
CC(=O)OC1CC2CCC1(C2(C)C)C,1,1,0,0,0
CCCCCO[N+](=O)[O-],0,1,0,0,0
CSCCC=O,0,1,0,0,0
